---------Instrucciones--------- | Usa 'W-A-S-D' para moverte: 'W' arriba, 'A' izquierda, 'S' abajo, 'D' derecha
---------Instrucciones--------- | Presiona espacio para empezar la historia.
Anacleto | ¡OH NO!... ¡¡¡MI PRÁCTICA!!!
Anacleto | No entiendo qué ha podido pasar ...
Anacleto | El único que tenía mi código era mi compañero Jiang-Yang
Anacleto | pero él no me lo robaría ... tengo que llamarlo.
Anacleto | (Teclea el número de Jiang-Yang)
Hombre al teléfono | ¿Diga?
Anacleto | ¿Quién es usted y qué ha hecho con mi código?
Hombre al teléfono | Hahahahaha ...
Hombre al teléfono | Has cometido un grave error chico, soy el padre de Jiang-Yang,  
Hombre al teléfono | trabajo para el gobierno Chino. Llevándole esto a mis superiores 
Hombre al teléfono | China se convertira en la nueva potencia mundial
Hombre al teléfono | y yo en el nuevo Ministro de Defensa.
Anacleto | Usted no sabe lo que puede llegar a desencadenar
Anacleto | ¡Podría provocar la tercera guerra mundial!
Hombre al teléfono | ¿Y te crees que con este poderoso arma que has creado 
Hombre al teléfono | le tengo miedo a una guerra?
Hombre al teléfono | Hahahahaha ... (Cuelga) 
Anacleto | No puede ser, he de ir a recuperar mi código ahora mismo.
Anacleto | Con este código China podría hacer pedazos cualquier 
Anacleto | tipo de códigos de seguridad, cuentas bancarias, cabezas nucleares, etc. 
Anacleto | ¡Podría ser el fin del mundo!
Anacleto | He de apresurarme, no tengo tiempo que perder.
